,close,date,high,low,open,quoteVolume,volume,weightedAverage
3450,358.32097613,1449208800,361.72097476,355.20000157,361.72097476,0.12432502,44.52104996,358.10209376
3451,361.7209727,1449216000,361.7209727,356,358.32097614,0.74080152,265.13177926,357.89853571
3452,357.10000013,1449223200,361.72097265,356.21000002,361.72097265,1.50751869,538.95450136,357.51099136
3453,357.20500114,1449230400,359,357.20499997,358.99999976,1.23086567,440.79986402,358.12182821
3454,358.00000056,1449237600,362,358.00000031,358.99999998,0.21994085,79.0085137,359.22619059
3455,358.0001,1449244800,366,358.0001,362.99999967,4.28655135,1551.80915801,362.01809597
3456,358.00010001,1449252000,358.00010001,358.00010001,358.00010001,1.42971392,511.83772634,358.00010001
3457,358.35,1449259200,358.35,358.35,358.35,0.00745519,2.67156733,358.35
3458,365.51,1449266400,365.51,358.00010001,358.35,0.10217526,36.62181839,358.4215826
3459,368,1449273600,370,365.49,365.49,3.48554855,1283.75119338,368.30678872
3460,370,1449280800,370,369.94999992,369.94999993,0.70819218,262.01821668,369.98179884
3461,371.1040198,1449288000,371.1040198,363.00000016,363.00000016,0.38424937,142.28048665,370.28163937
3462,370.00000001,1449295200,370.99499999,370.00000001,370.99499999,0.2033918,75.255165,370.00097841
3463,369.48999987,1449302400,369.99899946,360.12706417,365.00000044,2.53864371,923.29038903,363.69435592
3464,380.00000021,1449309600,380.00000022,362.65243302,369.49,4.58674534,1718.5047953,374.66758407
3465,380.99999999,1449316800,381,370.18966005,371.72996724,1.43634046,547.16012745,380.94041259
3466,378,1449324000,378.00000001,370,370.00000001,12.59346542,4672.2265484,371.00403999
3467,373.00000002,1449331200,378,369.00000015,378,3.61862619,1367.50676989,377.90771914
3468,373.0000003,1449338400,373.0000003,373.00000027,373.00000027,0.00320131,1.19408863,373.00000027
3469,374,1449345600,375,374,375,0.0152733,5.71512769,374.19075707
3470,380.45053057,1449352800,392.265,374,374,10.18715064,3925.05549997,385.29473438
3471,393.31035001,1449360000,393.31035001,380.99663008,389.99999944,1.70365791,664.68280217,390.15039244
3472,391.9998996,1449367200,391.99989962,387.00000001,388.00000186,1.93069627,749.35049716,388.12448587
3473,400.00000001,1449374400,400.00000001,387.00000168,387.00000168,4.53977692,1798.65383125,396.19872582
3474,395.98888,1449381600,399.99999993,391.00000003,395.00150769,5.3462943,2122.58682247,397.02019817
3475,395.0001759,1449388800,400.00000001,390,390,1.92817663,768.73494343,398.68491894
3476,388.00002322,1449396000,398.06912465,388.00002322,398.06912465,0.38436552,151.92949536,395.27347656
3477,387.00022625,1449403200,395,387.00003817,395,0.9742691,383.17151885,393.29125686
3478,393.00000404,1449410400,394.99999999,387.00049583,387.00049583,1.31093009,514.84581735,392.73323671
